,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
40,TAXUS,TAXUS Basketball Size 7 | Hand Pump with Pin,399,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/TAXUS-Basketball-Size-Hand-Pump/dp/B0B8544SDT/ref=sr_1_39?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-39
41,NIVIA,NIVIA Europa Basketball (Any Color) (7),469,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/NIVIA-Europa-Basketball-Any-Color/dp/B07BWQLXV1/ref=sr_1_40?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-40
42,KK,KK KONEX Pro Basketball CLS 1905 with Inflating Deflating Pin Size 5,325,Available," Tuesday, August 9",10 Days Returnable,Not Applicable,https://www.amazon.in/KONEX-Basketball-Inflating-Deflating-Green/dp/B09T9DBCWH/ref=sr_1_41?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-41
43,Spalding,"Spalding Graffiti Rubber Basketball (Orange), 7","1,175",Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-Graffiti-Rubber-Basketball-Orange/dp/B099DD2MSF/ref=sr_1_42?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-42
44,Nivia,Nivia Top Grip Basketball,679,Available," Wednesday, August 10",10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-Top-Grip-Basketball-Size/dp/B0094VST86/ref=sr_1_43?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-43
45,Spalding,"Spalding TF Basketball, Black/Green - Size 1 (Pack of 2)",580,Available," Tuesday, August 9",10 Days Returnable,Not Applicable,https://www.amazon.in/Spalding-TF-Basketball-Black-Green/dp/B0B35RCQZT/ref=sr_1_44?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-44
46,Pargati,"Pargati Rubber Basketball ( Size: 7, Color : Brown, Orange, Ideal for : Training/Match )",380,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/Pargati-Rubber-Basketball-Size-Training/dp/B09T5RD3FB/ref=sr_1_45?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-45
47,RAKSO,RAKSO Basketball Size 6 Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs,-,Available,-,10 Days Returnable,Not Applicable,https://www.amazon.in/RAKSO-Basketball-Outdoor-Training-Basketballs/dp/B0B4GG9W6P/ref=sr_1_46?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-46
48,Nivia,Nivia Encounter Basketball Size-7,572,Available," tomorrow, August 2",Not Returnable,Not Applicable,https://www.amazon.in/Nivia-Encounter-basketball-Size-7/dp/B06XSN82DJ/ref=sr_1_47?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-47
49,Sport,Sport Dribble Basketball - Size: 3 (Pack of 1),289,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/Sport-Dribble-Basketball-Size-Pack/dp/B0B34MH7GW/ref=sr_1_48?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-48
50,Cosco,"Cosco Rubber Pulse Basketball, Size 7",875,Available," Wednesday, August 10",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-Pulse-Basketball-Size-7/dp/B00KPP0GUY/ref=sr_1_49?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-49
51,Spalding,Spalding Cross Over NBA Basketball Official Men Size 7 Without Pump,890,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-Cross-Over-Basketball-Official/dp/B0936KM65P/ref=sr_1_50?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-50
52,Vector,"Vector X Speed Rubber Basketball (Color : Yellow, Size : 5)",379,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Vector-BB-Speed-Basketball-Adult-Yellow/dp/B076WXM3R4/ref=sr_1_51?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-51
53,Amazon,"Amazon Brand - Solimo Training Basketball, 8 Panel",449,Available," Saturday, August 6",10 Days Replacement,Not Applicable,https://www.amazon.in/Amazon-Brand-Solimo-Training-Basketball/dp/B082L85TF8/ref=sr_1_52?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-52
